IBRC_Geo_ID,State,Year,District Name,BEA Per Capita Personal Income
6500001,AK,2001,Kenai Peninsula Economic Development District,30401
6500001,AK,2002,Kenai Peninsula Economic Development District,30746
6500001,AK,2003,Kenai Peninsula Economic Development District,31153
6500001,AK,2004,Kenai Peninsula Economic Development District,32286
6500001,AK,2005,Kenai Peninsula Economic Development District,33604
6500001,AK,2006,Kenai Peninsula Economic Development District,35281
6500001,AK,2007,Kenai Peninsula Economic Development District,37524
6500001,AK,2008,Kenai Peninsula Economic Development District,42075
6500001,AK,2009,Kenai Peninsula Economic Development District,41709
6500001,AK,2010,Kenai Peninsula Economic Development District,43811
6500001,AK,2011,Kenai Peninsula Economic Development District,46357
6500001,AK,2012,Kenai Peninsula Economic Development District,47537
6500001,AK,2013,Kenai Peninsula Economic Development District,46703
6500001,AK,2014,Kenai Peninsula Economic Development District,50330
6500001,AK,2015,Kenai Peninsula Economic Development District,50737
6500001,AK,2016,Kenai Peninsula Economic Development District,49371
6500001,AK,2017,Kenai Peninsula Economic Development District,49780
6500001,AK,2018,Kenai Peninsula Economic Development District,51687
6500001,AK,2019,Kenai Peninsula Economic Development District,53952
6500001,AK,2020,Kenai Peninsula Economic Development District,55778
6500001,AK,2021,Kenai Peninsula Economic Development District,59083
6500001,AK,2022,Kenai Peninsula Economic Development District,60430
6500001,AK,2023,Kenai Peninsula Economic Development District,62052
6500002,AK,2001,Prince William Sound Economic Development District,0
6500002,AK,2002,Prince William Sound Economic Development District,0
6500002,AK,2003,Prince William Sound Economic Development District,0
6500002,AK,2004,Prince William Sound Economic Development District,0
6500002,AK,2005,Prince William Sound Economic Development District,0
6500002,AK,2006,Prince William Sound Economic Development District,0
6500002,AK,2007,Prince William Sound Economic Development District,0
6500002,AK,2008,Prince William Sound Economic Development District,0
6500002,AK,2009,Prince William Sound Economic Development District,0
6500002,AK,2010,Prince William Sound Economic Development District,0
6500002,AK,2011,Prince William Sound Economic Development District,0
6500002,AK,2012,Prince William Sound Economic Development District,0
6500002,AK,2013,Prince William Sound Economic Development District,0
6500002,AK,2014,Prince William Sound Economic Development District,0
